       E(mm)      EU(mm)      EL(mm)      ED(mm)       W(mm)      WU(mm)      WL(mm)      WD(mm)       R(mm)      RG(mm)      RS(mm)     Q(m3/d)    QS(m3/d)    QG(m3/d)
           1.014             0.000             1.014             0.000           162.992             0.000            29.223           133.770             0.000             0.000             0.000             0.094             0.014             0.080
           0.574             0.200             0.374             0.000           162.618             0.000            28.848           133.770             0.000             0.000             0.000             0.087             0.009             0.078
           0.780             0.000             0.780             0.000           161.838             0.000            28.068           133.770             0.000             0.000             0.000             0.082             0.006             0.077
           0.971             0.000             0.971             0.000           160.867             0.000            27.097           133.770             0.000             0.000             0.000             0.077             0.002             0.075
           0.747             0.000             0.747             0.000           160.119             0.000            26.349           133.770             0.000             0.000             0.000             0.074             0.000             0.074
           1.242             1.242             0.000             0.000           160.534             0.415            26.349           133.770             0.443             0.166             0.277             0.116             0.039             0.078
           1.318             1.318             0.000             0.000           160.574             0.455            26.349           133.770             0.043             0.016             0.027             0.127             0.050             0.077
           0.565             0.565             0.000             0.000           161.266             1.147            26.349           133.770             0.743             0.278             0.465             0.184             0.099             0.084
           1.521             1.347             0.174             0.000           159.945             0.000            26.175           133.770             0.000             0.000             0.000             0.184             0.101             0.083
           0.878             0.000             0.878             0.000           159.068             0.000            25.298           133.770             0.000             0.000             0.000             0.146             0.065             0.081
           0.711             0.000             0.711             0.000           158.356             0.000            24.586           133.770             0.000             0.000             0.000             0.122             0.042             0.080
           1.129             1.129             0.000             0.000           158.733             0.377            24.586           133.770             0.393             0.149             0.244             0.145             0.062             0.083
           0.816             0.377             0.439             0.000           157.918             0.000            24.148           133.770             0.000             0.000             0.000             0.141             0.060             0.081
           1.175             0.900             0.275             0.000           157.642             0.000            23.872           133.770             0.000             0.000             0.000             0.117             0.038             0.080
           0.349             0.000             0.349             0.000           157.294             0.000            23.524           133.770             0.000             0.000             0.000             0.102             0.023             0.078
           0.547             0.000             0.547             0.000           156.747             0.000            22.977           133.770             0.000             0.000             0.000             0.090             0.014             0.077
           0.534             0.000             0.534             0.000           156.212             0.000            22.442           133.770             0.000             0.000             0.000             0.082             0.007             0.075
           0.643             0.000             0.643             0.000           155.569             0.000            21.799           133.770             0.000             0.000             0.000             0.078             0.005             0.074
           0.802             0.000             0.802             0.000           154.767             0.000            20.998           133.770             0.000             0.000             0.000             0.075             0.003             0.072
           1.167             1.167             0.000             0.000           156.874             2.106            20.998           133.770             2.127             0.820             1.307             0.288             0.191             0.096
           0.489             0.489             0.000             0.000           159.138             4.370            20.998           133.770             2.347             0.893             1.454             0.561             0.438             0.123
           2.334             2.334             0.000             0.000           157.003             2.236            20.998           133.770             0.000             0.000             0.000             0.521             0.401             0.121
           2.184             2.184             0.000             0.000           154.820             0.052            20.998           133.770             0.000             0.000             0.000             0.378             0.259             0.118
           0.684             0.052             0.631             0.000           154.136             0.000            20.366           133.770             0.000             0.000             0.000             0.284             0.168             0.116
           0.727             0.000             0.727             0.000           153.409             0.000            19.639           133.770             0.000             0.000             0.000             0.222             0.109             0.114
           0.701             0.000             0.701             0.000           152.708             0.000            18.938           133.770             0.000             0.000             0.000             0.182             0.070             0.111
           1.050             0.500             0.550             0.000           152.158             0.000            18.388           133.770             0.000             0.000             0.000             0.155             0.046             0.109
           0.517             0.000             0.517             0.000           151.641             0.000            17.871           133.770             0.000             0.000             0.000             0.132             0.025             0.107
           0.725             0.000             0.725             0.000           150.916             0.000            17.146           133.770             0.000             0.000             0.000             0.112             0.007             0.105
           1.036             0.600             0.436             0.000           150.480             0.000            16.710           133.770             0.000             0.000             0.000             0.103             0.000             0.103
           1.145             0.900             0.245             0.000           150.235             0.000            16.465           133.770             0.000             0.000             0.000             0.101             0.000             0.101
           0.794             0.200             0.594             0.000           149.641             0.000            15.871           133.770             0.000             0.000             0.000             0.099             0.000             0.099
           0.755             0.000             0.755             0.000           148.886             0.000            15.116           133.770             0.000             0.000             0.000             0.097             0.000             0.097
           0.629             0.000             0.629             0.000           148.256             0.000            14.487           133.770             0.000             0.000             0.000             0.095             0.000             0.095
           0.501             0.000             0.501             0.000           147.755             0.000            13.985           133.770             0.000             0.000             0.000             0.093             0.000             0.093
           0.567             0.000             0.567             0.000           147.188             0.000            13.418           133.770             0.000             0.000             0.000             0.091             0.000             0.091
           0.551             0.000             0.551             0.000           146.636             0.000            12.866           133.770             0.000             0.000             0.000             0.090             0.000             0.090
           0.941             0.941             0.000             0.000           150.709             4.072            12.866           133.770             3.787             1.522             2.265             0.485             0.353             0.132
           2.297             2.297             0.000             0.000           149.312             2.676            12.866           133.770             0.000             0.000             0.000             0.558             0.428             0.130
           2.108             2.108             0.000             0.000           148.604             1.967            12.866           133.770             0.000             0.000             0.000             0.404             0.277             0.127
           0.565             0.565             0.000             0.000           160.253            13.617            12.866           133.770            11.586             4.877             6.709             1.567             1.310             0.256
           1.167             1.167             0.000             0.000           159.386            12.749            12.866           133.770             0.000             0.000             0.000             1.740             1.489             0.251
           2.033             2.033             0.000             0.000           159.418            12.782            12.866           133.770             0.034             0.013             0.021             1.214             0.967             0.247
           2.108             2.108             0.000             0.000           162.690            16.053            12.866           133.770             3.521             1.315             2.205             1.218             0.933             0.285
           2.673             2.673             0.000             0.000           160.017            13.380            12.866           133.770             0.000             0.000             0.000             1.056             0.777             0.280
           2.522             2.522             0.000             0.000           157.494            10.858            12.866           133.770             0.000             0.000             0.000             0.769             0.494             0.274
           1.769             1.769             0.000             0.000           155.825             9.188            12.866           133.770             0.000             0.000             0.000             0.581             0.312             0.269
           1.769             1.769             0.000             0.000           155.840             9.203            12.866           133.770             0.015             0.006             0.009             0.467             0.204             0.264
           1.242             1.242             0.000             0.000           160.237            13.600            12.866           133.770             4.561             1.735             2.826             0.822             0.508             0.314
           2.071             2.071             0.000             0.000           163.793            17.156            12.866           133.770             3.874             1.439             2.435             1.221             0.865             0.356
           1.280             1.280             0.000             0.000           164.510            17.873            12.866           133.770             0.803             0.294             0.508             1.176             0.817             0.359
           1.995             1.995             0.000             0.000           162.514            15.878            12.866           133.770             0.000             0.000             0.000             0.912             0.561             0.352
           1.544             1.544             0.000             0.000           165.095            18.459            12.866           133.770             2.876             1.057             1.819             0.982             0.601             0.380
