 Index   Temp   Variable_0   Variable_1   Variable_2   Variable_3   Variable_4   Variable_5   Variable_6   Variable_7   Variable_8   Variable_9 Objective   Seconds
         159.000            991.000              0.610              0.379              0.172              5.789             83.828             94.241              0.294             46.267              0.401              2.955            408.543              0.623   
         160.000            991.000              0.800              0.372              0.342             26.012             72.576             67.848              0.217             26.630              0.038              1.207          -2156.323              0.626   
         161.000            990.000              0.903              0.339              0.046             24.477             50.214            173.234              0.171             43.846              0.366              3.538            397.003              0.628   
         162.000            990.000              0.230              0.071              0.899             17.366             67.848            101.666              0.173             34.111              0.989              4.406            364.984              0.629   
         163.000            990.000              0.250              0.409              0.815             22.291             87.591             57.205              0.023              5.952              0.377              5.669             87.366              0.631   
         164.000            990.000              0.635              0.197              0.451             25.341             50.633            126.388              0.079              5.896              0.280              4.389            302.799              0.634   
         165.000            990.000              0.947              0.297              0.307             23.785             75.160             98.358              0.019             40.084              0.698              5.279            440.985              0.636   
         166.000            990.000              0.548              0.453              0.589             24.213             91.925            190.138              0.207             19.115              0.565              3.378            482.585              0.639   
         167.000            990.000              0.833              0.376              0.454             26.720             73.508            119.156              0.070             43.363              0.036              2.285            272.048              0.644   
         168.000            990.000              0.527              0.412              0.472              5.069             85.000            132.835              0.030             17.901              0.790              1.245            269.360              0.646   
